pathogen_group,mediator_label,risk_control,risk_intervention,prev_ratio,treatment_label,type,pathogen_color
Bacteria,Aeromonas,"0.064 (0.039, 0.089)","0.059 (0.043, 0.076)"," 0.812 ( 0.504,  1.308)",Pooled Intervention,cat,individual
Bacteria,B.fragilis,"0.185 (0.149, 0.222)","0.241 (0.211, 0.271)"," 1.281 ( 1.000,  1.641)",Pooled Intervention,cat,individual
Bacteria,C.difficile,"0.082 (0.052, 0.112)","0.095 (0.076, 0.115)"," 1.166 ( 0.748,  1.817)",Pooled Intervention,cat,individual
Bacteria,Campylobacter,"0.413 (0.351, 0.475)","0.487 (0.444, 0.529)"," 1.126 ( 0.956,  1.326)",Pooled Intervention,cat,individual
Bacteria,EAEC,"0.757 (0.700, 0.814)","0.760 (0.731, 0.789)"," 0.979 ( 0.897,  1.070)",Pooled Intervention,cat,individual
Bacteria,EPEC (Any),"0.538 (0.478, 0.598)","0.520 (0.488, 0.552)"," 0.938 ( 0.816,  1.078)",Pooled Intervention,cat,individual
Bacteria,ETEC (Any),"0.362 (0.295, 0.429)","0.407 (0.362, 0.452)"," 1.053 ( 0.860,  1.289)",Pooled Intervention,cat,individual
Bacteria,Plesiomonas,"0.137 (0.091, 0.182)","0.159 (0.129, 0.190)"," 1.084 ( 0.778,  1.511)",Pooled Intervention,cat,individual
Bacteria,Shigella/EIEC,"0.125 (0.087, 0.162)","0.149 (0.119, 0.179)"," 1.127 ( 0.850,  1.494)",Pooled Intervention,cat,individual
Bacteria,STEC,"0.109 (0.073, 0.146)","0.114 (0.092, 0.136)"," 1.042 ( 0.706,  1.538)",Pooled Intervention,cat,individual
Parasite,Any Parasite,"0.307 (0.242, 0.372)","0.365 (0.329, 0.401)"," 1.110 ( 0.888,  1.387)",Pooled Intervention,cat,agg
Parasite,Cryptosporidium,"0.079 (0.044, 0.114)","0.133 (0.108, 0.159)"," 1.448 ( 0.896,  2.341)",Pooled Intervention,cat,individual
Parasite,E.bieneusi,"0.106 (0.075, 0.137)","0.101 (0.082, 0.120)"," 0.854 ( 0.609,  1.196)",Pooled Intervention,cat,individual
Parasite,Giardia,"0.137 (0.085, 0.188)","0.135 (0.112, 0.159)"," 1.003 ( 0.663,  1.515)",Pooled Intervention,cat,individual
Virus,Any Virus,"0.495 (0.423, 0.568)","0.306 (0.271, 0.341)"," 0.595 ( 0.500,  0.709)",Pooled Intervention,cat,agg
Virus,Adenovirus 40/41,"0.103 (0.047, 0.159)","0.070 (0.046, 0.093)"," 0.596 ( 0.350,  1.013)",Pooled Intervention,cat,individual
Virus,Norovirus GII,"0.191 (0.146, 0.237)","0.133 (0.107, 0.160)"," 0.669 ( 0.481,  0.930)",Pooled Intervention,cat,individual
Virus,Sapovirus,"0.185 (0.134, 0.237)","0.100 (0.079, 0.121)"," 0.528 ( 0.369,  0.754)",Pooled Intervention,cat,individual
