"","variable","value","Nutrition","WSH","NWSH","Nutrition + NWSH","WSH + NWSH","Control"
"1","N","","419","434","441","860","875","422"
"2","Measurement date","Feb-May","236 (31.51%)","246 (31.06%)","207 (26.54%)","443 (28.97%)","453 (28.82%)","253 (34.42%)"
"3","Measurement date","Jun-Sep","270 (36.05%)","329 (41.54%)","327 (41.92%)","597 (39.05%)","656 (41.73%)","258 (35.1%)"
"4","Measurement date","Oct-Jan","243 (32.44%)","217 (27.4%)","246 (31.54%)","489 (31.98%)","463 (29.45%)","224 (30.48%)"
"5","Child's age","","15.71 (7.43)","15.68 (7.44)","15.95 (7.37)","15.83 (7.39)","15.81 (7.40)","16.43 (7.40)"
"6","Child's sex","female","361 (48.2%)","371 (46.84%)","410 (52.56%)","771 (50.43%)","781 (49.68%)","372 (50.61%)"
"7","Child's sex","male","388 (51.8%)","421 (53.16%)","370 (47.44%)","758 (49.57%)","791 (50.32%)","363 (49.39%)"
"8","Birth order","1","269 (35.91%)","248 (31.31%)","269 (34.49%)","538 (35.19%)","517 (32.89%)","272 (37.01%)"
"9","Birth order","2+","463 (61.82%)","529 (66.79%)","494 (63.33%)","957 (62.59%)","1023 (65.08%)","416 (56.6%)"
"10","Birth order",NA,"17 (2.27%)","15 (1.89%)","17 (2.18%)","34 (2.22%)","32 (2.04%)","47 (6.39%)"
"11","Mother's age","","23.75 (5.00)","24.46 (5.38)","24.24 (5.48)","24.00 (5.26)","24.35 (5.43)","23.45 (4.85)"
"12","Mother's height","","150.41 (5.55)","150.44 (5.46)","150.05 (5.22)","150.22 (5.38)","150.25 (5.34)","150.84 (5.16)"
"13","Mother's education","No education","112 (14.95%)","96 (12.12%)","126 (16.15%)","238 (15.57%)","222 (14.12%)","78 (10.61%)"
"14","Mother's education","Primary (1-5y)","220 (29.37%)","222 (28.03%)","250 (32.05%)","470 (30.74%)","472 (30.03%)","179 (24.35%)"
"15","Mother's education","Secondary (>5y)","417 (55.67%)","474 (59.85%)","404 (51.79%)","821 (53.7%)","878 (55.85%)","478 (65.03%)"
"16","Household food insecurity","Food Secure","538 (71.83%)","534 (67.42%)","554 (71.03%)","1092 (71.42%)","1088 (69.21%)","543 (73.88%)"
"17","Household food insecurity","Mildly Food Insecure","57 (7.61%)","77 (9.72%)","67 (8.59%)","124 (8.11%)","144 (9.16%)","62 (8.44%)"
"18","Household food insecurity","Moderately/Severely Food Insecure","154 (20.56%)","181 (22.85%)","159 (20.38%)","313 (20.47%)","340 (21.63%)","130 (17.69%)"
"19","Number of individuals in household under age 18","","1.52 (1.30)","1.65 (1.21)","1.72 (1.29)","1.62 (1.30)","1.68 (1.25)","1.56 (1.25)"
