mediator_label,outcome_label,risk_control,risk_intervention,mean_diff,prev_ratio,mediator_group,outcome_group
"Diarrhea, Fever, ARI, or Enteric Virus","Any Antibiotics
(Past Month)","0.426 (0.387, 0.465)","0.618 (0.588, 0.649)",----," 1.435 ( 1.299, 1.585)",any_infection,Past 1 Month
"Diarrhea, Fever, or ARI","Any Antibiotics
(Past Month)","0.395 (0.374, 0.416)","0.559 (0.525, 0.593)",----," 1.311 ( 1.220, 1.409)",any_infection,Past 1 Month
Diarrhea (Past 7 Days),"Any Antibiotics
(Past Month)","0.444 (0.424, 0.465)","0.630 (0.569, 0.692)",----," 1.291 ( 1.170, 1.425)",diarrhea,Past 1 Month
ARI (Past 7 Days),"Any Antibiotics
(Past Month)","0.423 (0.402, 0.444)","0.620 (0.575, 0.664)",----," 1.326 ( 1.222, 1.440)",ari,Past 1 Month
ARI with Fever (Past 7 Days),"Any Antibiotics
(Past Month)","0.435 (0.414, 0.456)","0.679 (0.623, 0.735)",----," 1.407 ( 1.283, 1.542)",ari,Past 1 Month
Difficulty Breathing (Past 7 Days),"Any Antibiotics
(Past Month)","0.454 (0.433, 0.474)","0.695 (0.595, 0.794)",----," 1.470 ( 1.274, 1.696)",ari,Past 1 Month
Fever (Past 7 Days),"Any Antibiotics
(Past Month)","0.422 (0.401, 0.443)","0.564 (0.527, 0.602)",----," 1.268 ( 1.176, 1.368)",ari,Past 1 Month
Fever (Past 14 Days),"Any Antibiotics
(Past Month)","0.458 (0.427, 0.490)","0.677 (0.635, 0.719)",----," 1.475 ( 1.337, 1.626)",ari,Past 1 Month
Any Enteric Viruses,"Any Antibiotics
(Past Month)","0.521 (0.485, 0.556)","0.618 (0.578, 0.658)",----," 1.168 ( 1.058, 1.288)",virus,Past 1 Month
Any Enteric Viruses,"Any Antibiotics
(Past 3 Months)","0.698 (0.664, 0.733)","0.753 (0.714, 0.791)",----," 1.080 ( 1.003, 1.162)",virus,Past 3 Months
Any Enteric Viruses,"Days of Antibiotic Use
(Past 3 Months)","5.536 (5.180, 5.893)","5.804 (5.276, 6.333)"," 0.231 (-0.380, 0.843)",----,virus,Past 3 Months
Any Enteric Viruses,"Episodes of Antibiotic Use
(Past 3 Months)","1.076 (1.010, 1.142)","1.170 (1.083, 1.257)"," 0.077 (-0.033, 0.187)",----,virus,Past 3 Months
