treatment_label,mediator_label,outcome_label,prev_diff,prev_ratio,mediator_group,outcome_group
Pooled Intervention,"Diarrhea, Fever, ARI, or Enteric Virus","Any Antibiotics
(Past Month)","-0.025 (-0.053, -0.002)","1.058 (1.009, 1.121)",any_infection,Past 1 Month
Pooled Intervention,"Diarrhea, Fever, or ARI","Any Antibiotics
(Past Month)","-0.005 (-0.014,  0.003)","1.020 (1.003, 1.042)",any_infection,Past 1 Month
Pooled Intervention,Diarrhea (Past 7 Days),"Any Antibiotics
(Past Month)","-0.006 (-0.013, -0.001)","0.996 (0.988, 1.006)",diarrhea,Past 1 Month
Pooled Intervention,ARI (Past 7 Days),"Any Antibiotics
(Past Month)","-0.006 (-0.014,  0.002)","1.006 (0.993, 1.022)",ari,Past 1 Month
Pooled Intervention,ARI with Fever (Past 7 Days),"Any Antibiotics
(Past Month)","-0.007 (-0.015, -0.001)","1.002 (0.991, 1.014)",ari,Past 1 Month
Pooled Intervention,Difficulty Breathing (Past 7 Days),"Any Antibiotics
(Past Month)","-0.003 (-0.009,  0.002)","1.001 (0.994, 1.009)",ari,Past 1 Month
Pooled Intervention,Fever (Past 7 Days),"Any Antibiotics
(Past Month)","-0.003 (-0.008,  0.003)","1.011 (0.999, 1.025)",ari,Past 1 Month
Pooled Intervention,Fever (Past 14 Days),"Any Antibiotics
(Past Month)","-0.007 (-0.030,  0.014)","1.059 (1.019, 1.111)",ari,Past 1 Month
Pooled Intervention,Any Enteric Viruses,"Any Antibiotics
(Past Month)","-0.018 (-0.035, -0.005)","0.981 (0.964, 0.996)",virus,Past 1 Month
Pooled Intervention,Any Enteric Viruses,"Any Antibiotics
(Past 3 Months)","-0.012 (-0.028,  0.001)","0.987 (0.972, 1.001)",virus,Past 3 Months
Pooled Intervention,Any Enteric Virus with Diarrhea,"Any Antibiotics
(Past Month)","-0.011 (-0.021, -0.004)","0.989 (0.979, 0.996)",virus,Past 1 Month
Pooled Intervention,Any Enteric Virus with Diarrhea,"Any Antibiotics
(Past 3 Months)","-0.007 (-0.015, -0.002)","0.992 (0.984, 0.997)",virus,Past 3 Months
Pooled Intervention,Any Enteric Virus with Diarrhea,"Episodes of Antibiotic Use
(Past 3 Months)","-0.016 (-0.033, -0.003)",----,virus,Past 3 Months
Pooled Intervention,Any Enteric Virus with Diarrhea,"Multiple Episodes of Antibiotic Use
(Past 3 Months)","-0.004 (-0.011,  0.001)","0.992 (0.979, 1.003)",virus,Past 3 Months
